"comfort","price","rooms_count","useful_surface","built_surface","construction_year","level","max_level","kitchens_count","bathrooms_count","parking_lots_count","balconies_count"
4,37400,2,65,65,2018,2,6,1,1,1,1
1,39900,2,65,79,2018,1,6,1,1,1,1
4,90290,2,58,68,2020,4,5,1,1,1,1
1,48000,2,42,53,2021,2,10,1,1,0,1
4,135000,2,50,70,2020,2,6,1,1,0,1
4,103320,2,47,58,2022,1,5,1,1,0,1
1,79900,2,61,72,2020,1,11,1,1,0,1
1,92500,2,39,56,2020,4,10,1,1,0,1
4,179000,4,162,192,2021,1,3,1,2,0,1
1,49850,2,50,54,2019,4,5,1,1,0,1
1,48112,2,52,59,2021,1,6,1,1,0,1
4,55192,2,70,80,2019,8,9,1,1,0,1
1,66670,2,46,58,2020,3,4,1,1,0,1
1,135000,4,90,124,2018,5,5,1,3,2,1
1,31500,1,39,47,2020,2,6,1,1,0,1
4,39900,2,46,56,2020,4,7,1,1,0,1
1,44400,2,43,52,2020,7,8,1,1,1,1
1,135000,2,53,70,2019,7,10,1,2,0,1
1,126000,2,51,63,2020,4,7,1,1,0,1
4,173950,3,84,105,2019,7,8,1,2,0,1
4,28900,1,31,41,2019,5,7,1,1,0,1
1,49400,2,53,65,2021,3,3,1,1,0,1
1,85000,3,145,160,2021,0,3,1,2,0,1
1,41800,2,51,60,2018,2,3,1,1,1,1
4,117900,2,47,60,2021,3,8,1,1,0,1
4,31000,2,46,49,1984,1,3,1,1,1,1
4,71500,2,60,80,2020,3,5,1,1,0,1
4,184999,3,90,108,2019,5,11,1,2,1,1
1,87000,2,76,76,2020,0,3,1,1,0,2
4,109500,3,90,107,2020,4,5,1,2,0,1
4,65900,2,63,85,2020,3,11,1,1,0,0
1,43500,2,46,50,2020,3,3,1,1,0,1
4,99500,3,89,101,2021,4,6,1,2,0,1
4,82000,2,54,63,2020,1,3,1,1,1,1
4,71500,2,52,64,2021,1,6,1,1,0,1
1,173000,3,95,117,2020,2,3,1,2,0,1
4,80500,2,58,70,2021,3,9,1,1,0,1
1,130200,2,75,89,2020,2,3,1,1,0,1
1,106000,2,61,76,2020,2,3,1,1,0,1
1,39900,1,38,45,2020,2,8,1,1,1,1
4,69500,2,60,84,2020,2,6,1,1,0,1
1,88498,2,57,63,2020,3,7,1,1,0,1
1,65500,1,43,53,2021,3,11,1,1,0,1
1,35619,2,64,73,2020,1,5,1,1,0,1
4,81000,1,47,57,2020,5,11,1,1,0,1
4,95000,2,55,75,2020,2,11,1,1,0,1
4,95000,2,54,71,2020,1,11,1,1,0,1
1,164000,3,123,157,2019,0,10,1,2,0,0
1,106000,3,71,93,2018,2,5,1,2,1,1
1,26900,1,32,43,2020,2,7,1,1,1,1
1,53100,2,53,71,2020,10,10,1,1,0,1
4,39700,1,51,60,2020,5,8,1,1,0,1
4,186000,3,82,111,2019,4,11,1,2,0,1
4,86900,2,66,78,2013,1,4,1,1,0,1
1,52500,2,54,54,2020,2,5,1,1,0,1
1,41221,1,43,50,2021,0,6,1,1,0,1
4,63900,2,64,75,2021,2,5,1,1,0,1
4,121500,3,76,89,2019,0,2,1,2,1,1
4,92000,2,61,71,2020,2,2,1,1,1,1
4,125000,3,92,125,2019,1,4,1,2,0,3
1,106257,3,80,86,2020,4,7,1,2,0,2
4,65900,2,63,86,2020,2,11,1,1,0,1
1,85900,2,52,63,2021,0,6,1,1,0,1
1,41800,2,51,61,2020,1,3,1,1,1,1
1,40755,1,41,48,2021,1,3,1,1,0,1
4,115000,3,87,95,2020,5,7,1,2,0,1
4,119500,3,90,105,2010,2,4,1,2,0,2
4,55000,2,54,59,2020,1,2,1,1,1,1
1,53000,2,50,60,1972,2,7,1,1,1,1
4,144550,2,47,86,2020,1,7,1,1,0,1
1,59000,2,45,62,2020,8,11,1,1,0,1
1,47500,2,36,45,1991,0,10,1,1,0,1
4,104000,3,81,103,2019,3,4,1,2,0,1
4,95000,2,54,70,2020,3,11,1,1,0,1
1,43800,2,53,66,2019,2,4,1,1,1,1
4,179237,3,82,110,2020,5,11,1,2,0,1
4,91000,2,77,93,2020,2,4,1,1,0,1
1,44500,2,54,64,2019,2,4,1,1,1,1
4,56000,2,70,81,2019,2,9,1,1,0,1
1,52500,2,55,62,2020,2,5,1,1,0,1
4,89000,3,74,96,2020,1,4,1,1,1,1
1,69429,3,79,92,2019,0,11,1,2,0,1
1,92000,2,62,74,2020,2,3,1,1,0,1
4,144500,3,86,125,2019,1,4,1,1,0,4
1,67620,2,52,65,2020,1,4,1,1,1,1
4,89000,3,71,93,2020,1,4,1,1,1,1
1,51500,2,58,69,2020,2,6,1,1,1,1
4,99500,3,89,102,2021,5,6,1,2,0,1
1,70389,3,80,92,2020,7,11,1,2,0,1
1,69994,2,45,53,2020,2,7,1,1,0,1
1,109177,3,80,85,2020,3,7,1,2,0,2
4,116000,3,129,129,2007,5,10,1,2,0,3
1,82000,2,67,67,2020,3,3,1,1,0,1
4,74500,2,64,77,2021,1,6,1,1,0,1
1,67000,2,65,78,2012,2,3,1,2,1,2
4,124000,3,148,148,2007,4,4,1,2,0,4
4,71900,3,70,78,2020,1,4,1,2,0,1
1,31500,1,39,49,2021,2,6,1,1,0,1
4,89500,2,55,70,2010,4,6,1,1,0,1
1,49990,2,45,52,2020,2,7,1,1,0,1
4,109000,2,48,60,2022,1,5,1,1,0,1
4,90125,2,54,75,2018,1,7,1,1,0,1
4,59900,3,57,68,2019,2,4,1,2,0,3
4,48325,2,58,68,2020,4,4,1,1,0,1
4,69500,2,57,75,2020,3,5,1,1,0,1
4,89500,3,74,86,2020,2,5,1,2,0,1
1,56500,2,51,56,2020,2,7,1,1,0,1
1,96116,3,66,87,2020,11,11,1,2,0,1
4,118881,2,53,64,2020,2,5,1,1,0,0
1,93000,3,86,101,2019,1,6,1,2,0,2
4,87150,2,67,80,2020,3,7,1,1,1,1
1,31500,1,39,49,2020,2,6,1,1,1,1
4,83000,2,51,64,2020,1,6,1,1,1,1
1,52900,2,48,54,2020,2,7,1,1,0,1
4,86500,3,69,85,2020,3,5,1,1,0,1
1,43850,2,50,62,2019,2,4,1,1,0,1
1,53450,2,49,54,2020,1,7,1,1,0,1
4,124000,3,190,230,2021,5,5,1,2,0,2
4,98500,2,59,69,2020,4,11,1,1,0,1
1,130000,2,72,86,2020,9,11,1,1,0,1
4,42500,2,50,68,2020,3,5,1,1,1,1
1,56500,2,51,56,2020,1,7,1,1,0,1
4,43000,2,52,56,1984,6,7,1,1,1,1
2,87000,2,47,77,2016,0,4,1,2,0,1
4,49500,2,50,60,2021,1,8,1,1,0,1
1,56099,2,65,75,2020,6,11,1,1,0,1
4,167000,2,66,79,2020,8,12,1,1,1,1
4,76600,2,87,100,2021,6,8,1,1,0,2
4,52350,2,52,62,2021,1,8,1,1,0,1
1,73300,3,82,95,2021,0,7,1,1,0,2
4,167000,2,66,79,2020,8,12,1,1,1,1
1,52000,2,51,63,2021,6,8,1,1,0,1
1,51600,2,50,60,2020,2,8,1,1,1,1
1,49990,2,45,52,2020,1,7,1,1,0,1
1,49500,2,50,55,2021,1,8,1,1,0,1
1,39400,1,36,42,2021,5,8,1,1,0,1
1,83500,3,84,95,2021,1,8,1,2,0,3
4,39400,1,36,45,2021,5,8,1,1,0,1
4,151630,4,81,118,2018,2,7,1,2,0,3
1,83850,3,84,100,2021,5,8,1,2,0,1
1,61500,2,62,70,2021,3,8,1,1,0,2
1,55000,2,55,66,2021,3,8,1,1,0,1
4,46000,1,37,47,2019,3,4,1,1,1,1
1,52900,2,48,54,2020,1,7,1,1,0,1
1,61500,2,54,64,2020,1,6,1,1,0,1
4,118000,3,72,104,2018,1,7,1,2,0,2
1,64000,2,56,66,2020,0,6,1,1,0,1
4,187725,2,63,75,2020,4,5,1,1,0,1
1,39500,1,36,43,2021,1,8,1,1,0,1
4,92000,2,65,75,2019,3,6,1,1,0,1
4,155000,2,70,83,2020,2,5,1,1,0,0
4,60857,3,67,76,2019,0,5,1,2,0,0
1,84396,2,51,76,2020,3,11,1,2,0,1
1,59300,2,52,55,2020,3,4,1,1,1,1
1,45900,2,44,52,1976,9,10,1,1,0,1
1,97900,2,50,78,2020,1,3,1,1,0,1
1,42600,2,50,59,2020,1,4,1,1,1,1
4,61900,3,63,70,2019,2,4,1,2,0,1
1,79500,3,68,74,1979,6,8,1,2,1,2
1,105000,3,80,88,2021,4,9,1,2,0,1
1,116000,3,81,115,2020,7,8,1,2,0,1
1,82845,2,38,50,2020,6,11,1,1,0,1
4,54100,2,54,68,2021,3,5,1,1,0,1
1,69900,1,33,60,2020,0,3,1,1,0,1
1,130000,3,87,95,2020,1,3,1,2,1,1
1,77374,2,51,71,2020,11,11,1,2,0,1
1,51000,2,68,79,2021,4,5,1,1,1,1
1,65450,3,69,69,2020,3,4,1,2,0,1
1,130000,2,71,86,2020,1,11,1,1,0,1
1,48000,2,63,75,2020,5,6,1,1,1,1
1,173000,4,133,179,2019,9,10,1,3,0,2
1,93500,3,71,93,2018,5,5,1,2,1,1
1,77900,2,46,56,2020,0,3,1,1,0,1
1,65100,2,54,64,2020,2,6,1,1,0,1
4,55900,2,52,60,2019,2,4,1,1,0,1
4,60900,1,36,55,2020,2,11,1,1,0,1
4,67856,2,66,76,2020,1,5,1,1,0,2
1,49500,1,38,50,2020,3,6,1,1,0,1
4,83850,3,83,95,2021,3,8,1,2,0,1
4,88600,2,72,86,2020,1,7,1,1,1,1
1,67000,2,66,80,2011,2,3,1,2,1,2
4,135000,2,55,78,2020,2,11,1,1,0,1
1,69685,2,44,63,2020,2,4,1,1,0,1
1,78000,2,57,68,2020,5,5,1,1,0,1
1,87300,3,76,96,2020,1,6,1,2,0,1
1,58300,2,41,52,2020,1,4,1,1,0,1
4,59200,2,59,65,2021,3,8,1,1,0,1
4,58900,2,52,62,2020,0,3,1,1,0,0
1,58500,2,50,62,2020,5,6,1,1,0,1
1,88500,2,64,76,2021,3,11,1,1,0,1
4,87800,2,62,65,2020,2,11,1,1,0,1
4,29880,2,40,48,2019,0,4,1,1,0,0
4,155000,2,69,92,2020,2,5,1,1,0,1
4,99500,4,105,120,2019,1,4,1,2,0,1
1,56600,2,58,68,2020,2,6,1,1,0,1
1,74000,3,59,81,2020,4,12,1,1,0,1
1,44500,2,53,55,2020,1,4,1,1,0,1
4,117000,3,70,80,2016,4,11,1,1,0,1
1,104500,3,84,84,2020,1,4,1,2,0,1
1,52280,2,61,72,2020,5,11,1,1,0,1
4,55900,2,53,62,2019,2,4,1,1,0,1
4,53900,2,54,57,2020,1,3,1,1,1,1
4,82857,3,70,90,2018,9,9,1,2,0,1
1,86500,2,68,75,2020,1,11,1,1,0,1
4,43000,1,33,43,2020,1,4,1,1,1,1
4,85900,2,83,95,2021,0,6,1,1,0,1
4,59300,2,45,52,2020,3,9,1,1,0,1
1,43850,2,49,59,2019,2,4,1,1,0,1
1,65550,2,58,65,2021,2,7,1,1,0,1
1,49900,2,54,65,2020,3,3,1,1,1,1
1,185000,4,91,130,2019,1,7,1,2,0,1
1,79000,3,84,93,2021,2,7,1,2,0,2
4,165000,3,76,85,2019,0,7,1,2,1,0
1,63650,2,55,60,2020,3,7,1,1,0,1
4,78000,1,41,43,2020,3,7,1,1,0,1
1,54100,2,51,59,2020,2,5,1,1,0,1
4,47500,2,43,52,2021,2,5,1,1,0,1
1,94000,2,75,75,2020,1,4,1,1,0,1
4,59900,2,65,77,2019,6,7,1,1,0,1
1,90000,2,49,63,2020,2,11,1,1,0,1
1,69038,2,66,73,2020,1,6,1,1,0,1
1,63500,2,59,73,2021,2,10,1,1,0,1
1,84000,2,54,66,2020,1,6,1,1,0,1
4,134900,3,70,84,2019,7,7,1,2,1,1
4,199000,3,78,109,2020,1,11,1,2,0,1
4,74190,3,89,105,2019,3,7,1,2,0,1
1,160000,3,72,110,2019,2,7,1,2,0,1
4,82700,3,78,80,2020,1,3,1,2,1,1
4,149000,3,81,81,1990,4,7,1,2,0,3
4,101500,4,81,96,2020,0,5,1,2,0,1
1,59000,2,57,68,2020,1,7,1,1,0,1
1,41990,1,35,42,2020,1,7,1,1,0,1
1,176000,4,93,120,1991,8,9,1,2,0,3
1,62500,2,53,65,2021,2,6,1,1,0,1
1,73600,2,66,88,2020,1,4,1,2,1,1
1,92000,3,82,112,2020,2,7,1,2,0,2
1,159000,2,62,68,1992,6,9,1,1,0,3
1,76900,3,91,101,2020,0,7,1,2,0,0
1,75000,2,60,72,1988,0,8,1,1,0,0
1,51000,2,43,54,2021,1,6,1,1,0,1
1,63900,2,54,61,2020,3,4,1,1,0,1
4,79000,3,84,110,2021,1,7,1,2,1,2
1,113500,3,82,125,2019,4,6,1,2,0,1
1,86900,3,106,114,2020,0,7,1,2,0,0
1,125500,3,82,117,2019,6,6,1,2,0,1
1,63100,2,60,71,2020,5,6,1,1,0,1
1,41900,1,36,47,2021,1,7,1,1,0,1
1,71990,3,70,81,2020,1,7,1,2,0,1
1,54395,2,49,58,2021,4,11,1,1,0,1
1,39000,1,35,41,2021,1,4,1,1,0,1
4,133000,3,111,134,2020,1,7,1,2,1,1
1,41990,1,35,42,2020,2,7,1,1,0,1
1,177000,3,75,106,2019,5,7,1,1,0,1
1,74900,3,70,81,2020,1,4,1,2,0,1
4,154500,3,91,100,2013,1,4,1,2,1,0
4,82467,3,79,88,2020,1,6,1,2,0,1
4,90500,2,78,94,2020,3,7,1,1,1,1
1,66500,2,65,80,2021,3,10,1,1,0,1
1,73500,3,72,80,2021,0,4,1,2,0,1
1,63500,2,59,68,2020,1,4,1,1,0,1
4,169900,4,142,142,2019,0,3,1,2,0,2
1,59800,2,60,72,2020,2,6,1,1,0,1
4,52000,2,48,57,2021,2,4,1,1,0,1
1,54900,2,48,57,2020,1,4,1,1,0,1
4,156000,2,54,79,2020,8,11,1,1,0,1
4,163284,2,61,74,2021,1,5,1,1,0,1
1,59500,2,60,69,2020,3,6,1,1,0,1
1,116000,4,84,100,1980,0,8,1,2,0,1
1,94500,3,52,65,1958,1,2,1,1,0,0
1,121900,3,94,100,2020,2,11,1,2,0,2
4,72200,2,60,67,2020,0,3,1,1,0,1
4,71500,2,52,70,2021,1,6,1,1,0,1
1,48500,2,49,58,2020,2,5,1,1,1,1
4,169000,2,55,65,2020,9,12,1,1,0,0
4,68820,2,57,68,2020,1,4,1,1,1,1
1,77500,2,60,89,2020,1,4,1,1,1,1
1,82700,3,70,97,2020,1,4,1,2,1,1
4,136457,3,87,99,2020,5,6,1,2,0,1
4,49450,2,58,66,2019,2,5,1,1,1,1
1,71500,2,61,71,2019,1,4,1,1,0,1
4,49875,2,55,65,2020,2,5,1,1,1,1
4,199500,3,78,109,2020,1,11,1,2,0,1
1,62000,2,61,70,2020,2,6,1,1,0,1
4,106000,2,44,56,2020,1,10,1,1,0,1
1,70000,3,69,84,2020,0,4,1,2,0,1
1,141000,3,65,78,2019,7,10,1,2,0,1
